TR_CEDAR_FIRST_000001 | Original synthetic cedar relay protocol observations.
0002 | relay=cedar_2 | phase=committed | sequence=26 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0235 | relay=cedar_14 | phase=acknowledged | sequence=3055 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0236 | relay=cedar_15 | phase=queued | sequence=3068 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0237 | relay=cedar_16 | phase=validated | sequence=3081 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0238 | relay=cedar_0 | phase=committed | sequence=3094 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0239 | relay=cedar_1 | phase=acknowledged | sequence=3107 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0240 | relay=cedar_2 | phase=queued | sequence=3120 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0241 | relay=cedar_3 | phase=validated | sequence=3133 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0242 | relay=cedar_4 | phase=committed | sequence=3146 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0243 | relay=cedar_5 | phase=acknowledged | sequence=3159 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0244 | relay=cedar_6 | phase=queued | sequence=3172 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0245 | relay=cedar_7 | phase=validated | sequence=3185 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0246 | relay=cedar_8 | phase=committed | sequence=3198 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0247 | relay=cedar_9 | phase=acknowledged | sequence=3211 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0248 | relay=cedar_10 | phase=queued | sequence=3224 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0249 | relay=cedar_11 | phase=validated | sequence=3237 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0250 | relay=cedar_12 | phase=committed | sequence=3250 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0251 | relay=cedar_13 | phase=acknowledged | sequence=3263 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0252 | relay=cedar_14 | phase=queued | sequence=3276 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0253 | relay=cedar_15 | phase=validated | sequence=3289 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0254 | relay=cedar_16 | phase=committed | sequence=3302 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0255 | relay=cedar_0 | phase=acknowledged | sequence=3315 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0256 | relay=cedar_1 | phase=queued | sequence=3328 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0257 | relay=cedar_2 | phase=validated | sequence=3341 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0258 | relay=cedar_3 | phase=committed | sequence=3354 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0259 | relay=cedar_4 | phase=acknowledged | sequence=3367 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0260 | relay=cedar_5 | phase=queued | sequence=3380 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0261 | relay=cedar_6 | phase=validated | sequence=3393 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0262 | relay=cedar_7 | phase=committed | sequence=3406 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0263 | relay=cedar_8 | phase=acknowledged | sequence=3419 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0264 | relay=cedar_9 | phase=queued | sequence=3432 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0265 | relay=cedar_10 | phase=validated | sequence=3445 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0266 | relay=cedar_11 | phase=committed | sequence=3458 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0267 | relay=cedar_12 | phase=acknowledged | sequence=3471 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0268 | relay=cedar_13 | phase=queued | sequence=3484 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0269 | relay=cedar_14 | phase=validated | sequence=3497 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0270 | relay=cedar_15 | phase=committed | sequence=3510 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0271 | relay=cedar_16 | phase=acknowledged | sequence=3523 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0272 | relay=cedar_0 | phase=queued | sequence=3536 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0273 | relay=cedar_1 | phase=validated | sequence=3549 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0274 | relay=cedar_2 | phase=committed | sequence=3562 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0275 | relay=cedar_3 | phase=acknowledged | sequence=3575 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0276 | relay=cedar_4 | phase=queued | sequence=3588 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0277 | relay=cedar_5 | phase=validated | sequence=3601 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0278 | relay=cedar_6 | phase=committed | sequence=3614 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0279 | relay=cedar_7 | phase=acknowledged | sequence=3627 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0280 | relay=cedar_8 | phase=queued | sequence=3640 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0281 | relay=cedar_9 | phase=validated | sequence=3653 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0282 | relay=cedar_10 | phase=committed | sequence=3666 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0283 | relay=cedar_11 | phase=acknowledged | sequence=3679 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0284 | relay=cedar_12 | phase=queued | sequence=3692 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0285 | relay=cedar_13 | phase=validated | sequence=3705 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0286 | relay=cedar_14 | phase=committed | sequence=3718 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0287 | relay=cedar_15 | phase=acknowledged | sequence=3731 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0288 | relay=cedar_16 | phase=queued | sequence=3744 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0289 | relay=cedar_0 | phase=validated | sequence=3757 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0290 | relay=cedar_1 | phase=committed | sequence=3770 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0291 | relay=cedar_2 | phase=acknowledged | sequence=3783 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0292 | relay=cedar_3 | phase=queued | sequence=3796 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0293 | relay=cedar_4 | phase=validated | sequence=3809 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0294 | relay=cedar_5 | phase=committed | sequence=3822 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0295 | relay=cedar_6 | phase=acknowledged | sequence=3835 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0296 | relay=cedar_7 | phase=queued | sequence=3848 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0297 | relay=cedar_8 | phase=validated | sequence=3861 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0298 | relay=cedar_9 | phase=committed | sequence=3874 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0299 | relay=cedar_10 | phase=acknowledged | sequence=3887 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0300 | relay=cedar_11 | phase=queued | sequence=3900 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0301 | relay=cedar_12 | phase=validated | sequence=3913 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0302 | relay=cedar_13 | phase=committed | sequence=3926 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0303 | relay=cedar_14 | phase=acknowledged | sequence=3939 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0304 | relay=cedar_15 | phase=queued | sequence=3952 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0305 | relay=cedar_16 | phase=validated | sequence=3965 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0306 | relay=cedar_0 | phase=committed | sequence=3978 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0307 | relay=cedar_1 | phase=acknowledged | sequence=3991 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0308 | relay=cedar_2 | phase=queued | sequence=4004 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0309 | relay=cedar_3 | phase=validated | sequence=4017 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0310 | relay=cedar_4 | phase=committed | sequence=4030 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0311 | relay=cedar_5 | phase=acknowledged | sequence=4043 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0312 | relay=cedar_6 | phase=queued | sequence=4056 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0313 | relay=cedar_7 | phase=validated | sequence=4069 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0314 | relay=cedar_8 | phase=committed | sequence=4082 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0315 | relay=cedar_9 | phase=acknowledged | sequence=4095 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0316 | relay=cedar_10 | phase=queued | sequence=4108 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0317 | relay=cedar_11 | phase=validated | sequence=4121 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0318 | relay=cedar_12 | phase=committed | sequence=4134 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0319 | relay=cedar_13 | phase=acknowledged | sequence=4147 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0320 | relay=cedar_14 | phase=queued | sequence=4160 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0321 | relay=cedar_15 | phase=validated | sequence=4173 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0322 | relay=cedar_16 | phase=committed | sequence=4186 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0323 | relay=cedar_0 | phase=acknowledged | sequence=4199 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0324 | relay=cedar_1 | phase=queued | sequence=4212 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0325 | relay=cedar_2 | phase=validated | sequence=4225 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0326 | relay=cedar_3 | phase=committed | sequence=4238 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0327 | relay=cedar_4 | phase=acknowledged | sequence=4251 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0328 | relay=cedar_5 | phase=queued | sequence=4264 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0329 | relay=cedar_6 | phase=validated | sequence=4277 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0330 | relay=cedar_7 | phase=committed | sequence=4290 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0331 | relay=cedar_8 | phase=acknowledged | sequence=4303 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0332 | relay=cedar_9 | phase=queued | sequence=4316 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0333 | relay=cedar_10 | phase=validated | sequence=4329 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0334 | relay=cedar_11 | phase=committed | sequence=4342 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0335 | relay=cedar_12 | phase=acknowledged | sequence=4355 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0336 | relay=cedar_13 | phase=queued | sequence=4368 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0337 | relay=cedar_14 | phase=validated | sequence=4381 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0338 | relay=cedar_15 | phase=committed | sequence=4394 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0339 | relay=cedar_16 | phase=acknowledged | sequence=4407 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0340 | relay=cedar_0 | phase=queued | sequence=4420 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0341 | relay=cedar_1 | phase=validated | sequence=4433 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0342 | relay=cedar_2 | phase=committed | sequence=4446 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0343 | relay=cedar_3 | phase=acknowledged | sequence=4459 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0344 | relay=cedar_4 | phase=queued | sequence=4472 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0345 | relay=cedar_5 | phase=validated | sequence=4485 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0346 | relay=cedar_6 | phase=committed | sequence=4498 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0347 | relay=cedar_7 | phase=acknowledged | sequence=4511 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0348 | relay=cedar_8 | phase=queued | sequence=4524 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0349 | relay=cedar_9 | phase=validated | sequence=4537 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0350 | relay=cedar_10 | phase=committed | sequence=4550 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0351 | relay=cedar_11 | phase=acknowledged | sequence=4563 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0352 | relay=cedar_12 | phase=queued | sequence=4576 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0353 | relay=cedar_13 | phase=validated | sequence=4589 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0354 | relay=cedar_14 | phase=committed | sequence=4602 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0355 | relay=cedar_15 | phase=acknowledged | sequence=4615 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0356 | relay=cedar_16 | phase=queued | sequence=4628 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0357 | relay=cedar_0 | phase=validated | sequence=4641 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0358 | relay=cedar_1 | phase=committed | sequence=4654 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0359 | relay=cedar_2 | phase=acknowledged | sequence=4667 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0360 | relay=cedar_3 | phase=queued | sequence=4680 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0361 | relay=cedar_4 | phase=validated | sequence=4693 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0362 | relay=cedar_5 | phase=committed | sequence=4706 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0363 | relay=cedar_6 | phase=acknowledged | sequence=4719 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0364 | relay=cedar_7 | phase=queued | sequence=4732 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0365 | relay=cedar_8 | phase=validated | sequence=4745 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0366 | relay=cedar_9 | phase=committed | sequence=4758 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0367 | relay=cedar_10 | phase=acknowledged | sequence=4771 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0368 | relay=cedar_11 | phase=queued | sequence=4784 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0369 | relay=cedar_12 | phase=validated | sequence=4797 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0370 | relay=cedar_13 | phase=committed | sequence=4810 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0371 | relay=cedar_14 | phase=acknowledged | sequence=4823 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0372 | relay=cedar_15 | phase=queued | sequence=4836 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0373 | relay=cedar_16 | phase=validated | sequence=4849 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0374 | relay=cedar_0 | phase=committed | sequence=4862 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0375 | relay=cedar_1 | phase=acknowledged | sequence=4875 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0376 | relay=cedar_2 | phase=queued | sequence=4888 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0377 | relay=cedar_3 | phase=validated | sequence=4901 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0378 | relay=cedar_4 | phase=committed | sequence=4914 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0379 | relay=cedar_5 | phase=acknowledged | sequence=4927 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0380 | relay=cedar_6 | phase=queued | sequence=4940 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0381 | relay=cedar_7 | phase=validated | sequence=4953 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0382 | relay=cedar_8 | phase=committed | sequence=4966 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0383 | relay=cedar_9 | phase=acknowledged | sequence=4979 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0384 | relay=cedar_10 | phase=queued | sequence=4992 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0385 | relay=cedar_11 | phase=validated | sequence=5005 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0386 | relay=cedar_12 | phase=committed | sequence=5018 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0387 | relay=cedar_13 | phase=acknowledged | sequence=5031 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0388 | relay=cedar_14 | phase=queued | sequence=5044 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0389 | relay=cedar_15 | phase=validated | sequence=5057 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0390 | relay=cedar_16 | phase=committed | sequence=5070 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0391 | relay=cedar_0 | phase=acknowledged | sequence=5083 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0392 | relay=cedar_1 | phase=queued | sequence=5096 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0393 | relay=cedar_2 | phase=validated | sequence=5109 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0394 | relay=cedar_3 | phase=committed | sequence=5122 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0395 | relay=cedar_4 | phase=acknowledged | sequence=5135 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0396 | relay=cedar_5 | phase=queued | sequence=5148 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0397 | relay=cedar_6 | phase=validated | sequence=5161 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0398 | relay=cedar_7 | phase=committed | sequence=5174 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0399 | relay=cedar_8 | phase=acknowledged | sequence=5187 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0400 | relay=cedar_9 | phase=queued | sequence=5200 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0401 | relay=cedar_10 | phase=validated | sequence=5213 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0402 | relay=cedar_11 | phase=committed | sequence=5226 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0403 | relay=cedar_12 | phase=acknowledged | sequence=5239 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0404 | relay=cedar_13 | phase=queued | sequence=5252 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0405 | relay=cedar_14 | phase=validated | sequence=5265 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0406 | relay=cedar_15 | phase=committed | sequence=5278 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0407 | relay=cedar_16 | phase=acknowledged | sequence=5291 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0408 | relay=cedar_0 | phase=queued | sequence=5304 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0409 | relay=cedar_1 | phase=validated | sequence=5317 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0410 | relay=cedar_2 | phase=committed | sequence=5330 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0411 | relay=cedar_3 | phase=acknowledged | sequence=5343 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0412 | relay=cedar_4 | phase=queued | sequence=5356 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0413 | relay=cedar_5 | phase=validated | sequence=5369 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0414 | relay=cedar_6 | phase=committed | sequence=5382 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0415 | relay=cedar_7 | phase=acknowledged | sequence=5395 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0416 | relay=cedar_8 | phase=queued | sequence=5408 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0417 | relay=cedar_9 | phase=validated | sequence=5421 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0418 | relay=cedar_10 | phase=committed | sequence=5434 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0419 | relay=cedar_11 | phase=acknowledged | sequence=5447 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0420 | relay=cedar_12 | phase=queued | sequence=5460 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0421 | relay=cedar_13 | phase=validated | sequence=5473 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0422 | relay=cedar_14 | phase=committed | sequence=5486 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0423 | relay=cedar_15 | phase=acknowledged | sequence=5499 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0424 | relay=cedar_16 | phase=queued | sequence=5512 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0425 | relay=cedar_0 | phase=validated | sequence=5525 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0426 | relay=cedar_1 | phase=committed | sequence=5538 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0427 | relay=cedar_2 | phase=acknowledged | sequence=5551 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0428 | relay=cedar_3 | phase=queued | sequence=5564 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0429 | relay=cedar_4 | phase=validated | sequence=5577 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0430 | relay=cedar_5 | phase=committed | sequence=5590 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0431 | relay=cedar_6 | phase=acknowledged | sequence=5603 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0432 | relay=cedar_7 | phase=queued | sequence=5616 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0433 | relay=cedar_8 | phase=validated | sequence=5629 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0434 | relay=cedar_9 | phase=committed | sequence=5642 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0435 | relay=cedar_10 | phase=acknowledged | sequence=5655 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0436 | relay=cedar_11 | phase=queued | sequence=5668 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0437 | relay=cedar_12 | phase=validated | sequence=5681 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0438 | relay=cedar_13 | phase=committed | sequence=5694 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0439 | relay=cedar_14 | phase=acknowledged | sequence=5707 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0440 | relay=cedar_15 | phase=queued | sequence=5720 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0441 | relay=cedar_16 | phase=validated | sequence=5733 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0442 | relay=cedar_0 | phase=committed | sequence=5746 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0443 | relay=cedar_1 | phase=acknowledged | sequence=5759 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0444 | relay=cedar_2 | phase=queued | sequence=5772 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0445 | relay=cedar_3 | phase=validated | sequence=5785 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0446 | relay=cedar_4 | phase=committed | sequence=5798 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0447 | relay=cedar_5 | phase=acknowledged | sequence=5811 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0448 | relay=cedar_6 | phase=queued | sequence=5824 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0449 | relay=cedar_7 | phase=validated | sequence=5837 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0450 | relay=cedar_8 | phase=committed | sequence=5850 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0451 | relay=cedar_9 | phase=acknowledged | sequence=5863 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0452 | relay=cedar_10 | phase=queued | sequence=5876 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0453 | relay=cedar_11 | phase=validated | sequence=5889 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0454 | relay=cedar_12 | phase=committed | sequence=5902 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0455 | relay=cedar_13 | phase=acknowledged | sequence=5915 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0456 | relay=cedar_14 | phase=queued | sequence=5928 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0457 | relay=cedar_15 | phase=validated | sequence=5941 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0458 | relay=cedar_16 | phase=committed | sequence=5954 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0459 | relay=cedar_0 | phase=acknowledged | sequence=5967 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0460 | relay=cedar_1 | phase=queued | sequence=5980 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0461 | relay=cedar_2 | phase=validated | sequence=5993 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0462 | relay=cedar_3 | phase=committed | sequence=6006 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0463 | relay=cedar_4 | phase=acknowledged | sequence=6019 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0464 | relay=cedar_5 | phase=queued | sequence=6032 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0465 | relay=cedar_6 | phase=validated | sequence=6045 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0466 | relay=cedar_7 | phase=committed | sequence=6058 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
